Unnamed: 0,Date,closeprice,Side,Shares,Price,executeddate,modelref,OrderRef,ordertime,exetime,ordercanceltime,OrderPrice,commission,ticker,position,totalcost,averagecost,investment_mv,dividend,unrealized_gl,totalmv,end_capital,start_capital,cashflow,win,loss,realized_before_commission,realized_return_pertrade,realized_gl,total_gl,dailyreturn,holding,total_percent_gl,dailyreturn_percent,dailyreturn_realized_percent
0,2022-05-02,1002.0,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,2022-05-03,997.5,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
2,2022-05-04,1015.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
3,2022-05-05,1036.0,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,0.0,0.0,0.0,0.0,0,0.0,50000.0,50000.0,50000.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
4,2022-05-06,1027.5,BOT,5.0,1023.5,2022-05-06,WEAT US EQUITY_WZ3 COMDTY_0,ENTER,,2022-05-06,,1023.5,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,5.0,5117.5,1023.5,5137.5,0,20.0,50020.0,44882.5,50000.0,-5117.5,0,0,0.0,0,0.0,20.0,20.0,1,0.0004,0.0004,0.0
5,2022-05-09,1019.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,5.0,5117.5,1023.5,5098.75,0,-18.75,49981.25,44882.5,44882.5,0.0,0,0,0.0,0,0.0,-18.75,-38.75,1,-0.000375,-0.000775,0.0
6,2022-05-10,1026.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,5.0,5117.5,1023.5,5133.75,0,16.25,50016.25,44882.5,44882.5,0.0,0,0,0.0,0,0.0,16.25,35.0,1,0.000325,0.0007,0.0
7,2022-05-11,1039.25,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,5.0,5117.5,1023.5,5196.25,0,78.75,50078.75,44882.5,44882.5,0.0,0,0,0.0,0,0.0,78.75,62.5,1,0.001575,0.00125,0.0
8,2022-05-12,1088.25,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,5.0,5117.5,1023.5,5441.25,0,323.75,50323.75,44882.5,44882.5,0.0,0,0,0.0,0,0.0,323.75,245.0,1,0.006475,0.0049,0.0
9,2022-05-13,1071.75,BOT,5.0,1093.0,2022-05-13,WEAT US EQUITY_WZ3 COMDTY_1,ENTER,,2022-05-13,,1093.0,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,10.0,10582.5,1058.25,10717.5,0,135.0,50135.0,39417.5,44882.5,-5465.0,0,0,0.0,0,0.0,135.0,-188.75,1,0.0027,-0.003775,0.0
10,2022-05-16,1077.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,10.0,10582.5,1058.25,10777.5,0,195.0,50195.0,39417.5,39417.5,0.0,0,0,0.0,0,0.0,195.0,60.0,1,0.0039,0.0012,0.0
11,2022-05-17,1117.0,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,10.0,10582.5,1058.25,11170.0,0,587.5,50587.5,39417.5,39417.5,0.0,0,0,0.0,0,0.0,587.5,392.5,1,0.01175,0.00785,0.0
12,2022-05-18,1097.5,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,10.0,10582.5,1058.25,10975.0,0,392.5,50392.5,39417.5,39417.5,0.0,0,0,0.0,0,0.0,392.5,-195.0,1,0.00785,-0.0039,0.0
13,2022-05-19,1084.75,,,,,,,,,,,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,10.0,10582.5,1058.25,10847.5,0,265.0,50265.0,39417.5,39417.5,0.0,0,0,0.0,0,0.0,265.0,-127.5,1,0.0053,-0.00255,0.0
14,2022-05-20,1069.25,BOT,5.0,1076.0,2022-05-20,WEAT US EQUITY_WZ3 COMDTY_2,ENTER,,2022-05-20,,1076.0,0,./no_tpsl_wheat_futures_0WEAT US EQUITY/tradelog/WEAT US EQUITY_WZ3 COMDTY.csv,15.0,15962.5,1064.1666666666667,16038.75,0,76.25,50076.25,34037.5,39417.5,-5380.0,0,0,0.0,0,0.0,76.25,-188.75,1,0.001525,-0.003775,0.0
